Num_Frame,Respond_Time,Eyes detected
0,0.5435938835,1
1,0.3659296036,1
2,0.3032453060,1
3,0.3317999840,1
4,0.3330941200,1
5,0.3209784031,1
6,0.3166787624,1
7,0.3224272728,1
8,0.3330349922,1
9,0.2987592220,1
10,0.3116579056,1
11,0.3278458118,1
12,0.3131625652,1
13,0.3188738823,1
14,0.3198163509,1
15,0.3111939430,1
16,0.3125016689,1
17,0.3181097507,1
18,0.3368752003,1
19,0.3299274445,1
20,0.5456950665,1
21,0.2950916290,1
22,0.3168153763,1
23,0.3174145222,1
24,0.3100569248,1
25,0.2289547920,0
26,0.3049676418,0
27,0.3097960949,0
28,0.3229420185,0
29,0.3062629700,0
30,0.2971472740,0
31,0.3000411987,0
32,0.3023986816,0
33,0.3019015789,0
34,0.3084356785,1
35,0.3301599026,1
36,0.3155307770,1
37,0.3264260292,1
38,0.3113617897,1
39,0.3190953732,1
40,0.3087263107,1
41,0.3143579960,1
42,0.3110146523,1
43,0.2827913761,1
44,0.3237190247,1
45,0.2709629536,1
46,0.2455666065,1
47,0.2542376518,1
48,0.2361457348,1
49,0.1932704449,1
50,0.1953740120,1
51,0.1938018799,1
52,0.2021734715,1
53,0.2182734013,1
54,0.1914641857,1
55,0.2074992657,1
56,0.2074046135,1
57,0.1948528290,1
58,0.2134699821,0
59,0.2420423031,1
60,0.2631201744,1
61,0.3115701675,1
62,0.3069880009,1
63,0.3001861572,1
64,0.3218536377,1
65,0.2949447632,1
66,0.2965490818,1
67,0.2943677902,1
Num_Frame,Respond_Time,Eyes detected
0,0.3803298473,0
1,0.2356178761,0
2,0.2068595886,0
3,0.2123193741,0
4,0.2193641663,0
5,0.2120862007,0
6,0.2143881321,0
7,0.2553517818,0
8,0.2455441952,0
9,0.2706389427,0
10,0.2392828465,0
11,0.2258651257,0
12,0.1899056435,0
13,0.2201581001,0
14,0.2450838089,0
15,0.2818429470,0
16,0.3478779793,0
17,0.2663795948,0
18,0.3047542572,0
19,0.2947714329,0
20,0.3112552166,1
21,0.3478851318,1
22,0.3688876629,1
23,0.3921620846,1
24,0.3586785793,1
25,0.3817200661,1
26,0.3659534454,1
27,0.4060797691,1
28,0.3646516800,0
29,0.3564891815,1
30,0.3140249252,1
31,0.3338267803,1
32,0.3476376534,1
33,0.3555910587,1
34,0.3423452377,1
35,0.3335134983,1
36,0.3475580215,1
37,0.3464398384,1
38,0.3332338333,1
39,0.3430011272,1
40,0.3286094666,1
41,0.3350617886,1
42,0.3195900917,1
43,0.3384492397,1
44,0.3255360126,1
45,0.3539571762,1
46,0.3098993301,1
47,0.3016695976,0
48,0.3122229576,0
49,0.3006203175,0
50,0.3269939423,0
51,0.3115475178,1
52,0.2973225117,1
53,0.2900629044,1
54,0.2731053829,1
55,0.2994985580,1
56,0.2854092121,0
57,0.2964589596,1
58,0.3001840115,1
59,0.2901849747,0
60,0.2961888313,1
61,0.2948236465,1
62,0.2974376678,1
63,0.2994375229,1
64,0.3026063442,1
65,0.2984604836,1
Num_Frame,Respond_Time,Eyes detected
0,0.3439500332,0
1,0.2606670856,0
2,0.1899623871,0
3,0.1752581596,0
4,0.1940395832,0
5,0.1940619946,0
6,0.3531177044,1
7,0.3649959564,1
8,0.3762512207,1
9,0.3782088757,1
10,0.3757250309,1
11,0.3469674587,1
12,0.3540687561,1
13,0.3449182510,1
14,0.3461987972,1
15,0.3430447578,1
16,0.3429827690,1
17,0.3475565910,1
18,0.3490211964,1
19,0.3327000141,1
20,0.3406915665,1
21,0.3296689987,1
22,0.3247463703,1
23,0.3064622879,1
24,0.3157420158,1
25,0.3092358112,1
26,0.2974476814,1
27,0.2853550911,0
28,0.3141419888,1
29,0.3174722195,1
30,0.3158233166,0
31,0.3345544338,1
32,0.3231596947,1
33,0.3165500164,1
34,0.3298156261,1
35,0.3047046661,1
36,0.3209142685,1
37,0.3453330994,1
38,0.3322656155,1
39,0.3252410889,1
40,0.3438103199,1
41,0.2380721569,0
42,0.3192019463,1
43,0.2150166035,1
44,0.2349317074,1
45,0.2737545967,1
46,0.2686667442,1
47,0.2804346085,1
48,0.2710294724,1
49,0.2827014923,1
50,0.2673535347,1
51,0.2693684101,1
52,0.2752699852,1
53,0.2749583721,0
54,0.2683777809,1
55,0.2772634029,1
56,0.2651934624,1
57,0.2672898769,1
58,0.2726964951,1
59,0.3118095398,1
60,0.3181636333,1
61,0.2960081100,1
62,0.3207881451,1
63,0.2871828079,1
64,0.2974536419,1
65,0.2871928215,1
66,0.2902228832,1
Num_Frame,Respond_Time,Eyes detected
0,0.4654736519,0
1,0.2914984226,0
2,0.2220432758,0
3,0.2318923473,0
4,0.1892671585,0
5,0.1261432171,0
6,0.2947521210,1
7,0.3227152824,1
8,0.3976955414,1
9,0.3662831783,1
10,0.3272941113,1
11,0.3297994137,1
12,0.3339755535,1
13,0.3369281292,1
14,0.3451366425,1
15,0.3144915104,1
16,0.3206789494,1
17,0.3397161961,0
18,0.2703537941,0
19,0.3473491669,1
20,0.3513112068,1
21,0.3092353344,1
22,0.3109955788,1
23,0.3222293854,1
24,0.3343362808,1
25,0.3382844925,1
26,0.3213837147,1
27,0.3222270012,1
28,0.2990863323,1
29,0.3138070107,1
30,0.3463790417,1
31,0.3309659958,1
32,0.3091299534,1
33,0.3201408386,1
34,0.3051850796,1
35,0.3165259361,1
36,0.3277118206,1
37,0.3087804317,1
38,0.3063113689,1
39,0.3148484230,1
40,0.2985267639,1
41,0.3005609512,1
42,0.3021149635,1
43,0.2960207462,1
44,0.2991454601,1
45,0.2972579002,1
46,0.3043184280,1
47,0.3112075329,1
48,0.2916302681,1
49,0.2887623310,1
50,0.3003425598,1
51,0.3131115437,1
52,0.3083667755,1
53,0.3089942932,1
54,0.2934803963,1
55,0.3015017509,1
56,0.2847585678,1
57,0.5620486736,1
58,0.3027980328,1
59,0.2952775955,1
60,0.2999527454,1
61,0.3167753220,1
62,0.3258557320,1
63,0.2888314724,1
Num_Frame,Respond_Time,Eyes detected
0,0.3366048336,0
1,0.1778450012,0
2,0.1256344318,0
3,0.1409742832,0
4,0.1526863575,0
5,0.1698291302,0
6,0.2165718079,0
7,0.2325816154,0
8,0.3598132133,1
9,0.3899271488,1
10,0.3469698429,1
11,0.3517489433,1
12,0.3604669571,1
13,0.3303954601,1
14,0.3262107372,1
15,0.3223156929,1
16,0.3204212189,1
17,0.3278660774,1
18,0.3190200329,1
19,0.3192908764,1
20,0.3217930794,1
21,0.3168275356,1
22,0.3214402199,1
23,0.3285186291,1
24,0.3141767979,1
25,0.3464539051,1
26,0.3398194313,1
27,0.3214962482,1
28,0.2939679623,1
29,0.3026278019,1
30,0.3026862144,1
31,0.3060910702,1
32,0.3011109829,1
33,0.3035562038,1
34,0.3004434109,1
35,0.3178367615,1
36,0.3121621609,1
37,0.3165311813,1
38,0.3224256039,1
39,0.3420908451,1
40,0.3365821838,1
41,0.3320825100,1
42,0.2551712990,0
43,0.2852065563,0
44,0.2895984650,0
45,0.3349833488,1
46,0.3581299782,1
47,0.3372802734,1
48,0.3473734856,1
49,0.3012561798,1
50,0.2919926643,1
51,0.2692081928,1
52,0.1954426765,0
53,0.2091598511,0
54,0.3147382736,1
55,0.2828752995,1
56,0.2072644234,0
57,0.2984163761,1
58,0.2933561802,1
59,0.3073277473,1
60,0.3186390400,1
61,0.3388509750,1
62,0.3170282841,1
63,0.2958695889,1
64,0.2950358391,1
65,0.2937302589,1
66,0.2951016426,1
67,0.3199181557,1
Num_Frame,Respond_Time,Eyes detected
0,0.3664741516,0
1,0.1845536232,0
2,0.1356987953,0
3,0.1567149162,0
4,0.1571147442,0
5,0.1727697849,0
6,0.0963132381,0
7,0.1362791061,0
8,0.1548449993,0
9,0.1765770912,0
10,0.1707508564,0
11,0.1687819958,0
12,0.2020645142,0
13,0.2223019600,0
14,0.2408823967,0
15,0.2080469131,0
16,0.2025098801,0
17,0.3793401718,1
18,0.3445909023,1
19,0.3223757744,1
20,0.3291149139,1
21,0.3134615421,1
22,0.3007388115,1
23,0.3159897327,1
24,0.2902913094,1
25,0.2443408966,1
